"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"mean_lndp[2,1]",2.27761598868364,0.102135854266418,2.07170912183099,2.27936807109669,2.47801120060671,1,1353
"mean_lndp[2,2]",0.682771643371488,0.0784166340891665,0.529367103469635,0.679345677959515,0.841262138836168,1,3284
"mean_lndp[3,1]",3.60207388366055,0.0979942845385396,3.40338501337569,3.60317066205516,3.79607607472995,1,2876
"mean_lndp[3,2]",0.55211566938882,0.149516138665565,0.251827031668892,0.552424916764387,0.869127274574386,1,1817
"mean_lndp[4,1]",4.14263592509017,0.110327086770335,3.92802271418266,4.1419513445769,4.36375147573245,1,2321
"mean_lndp[4,2]",0.740985343788203,0.0973279460460092,0.549103035546645,0.739317532867518,0.940565799527603,1,5292
"mean_lndp[5,1]",5.31246753955297,0.0707901174176002,5.17699395507963,5.30966536923933,5.46074456965384,1,2067
"mean_lndp[5,2]",1.08014621955611,0.110430993113178,0.845630458009902,1.08279160273735,1.28716524225954,1,3110
"corr_chol1[1,1]",1,0,1,1,1,NA,NA
"corr_chol1[1,2]",0,0,0,0,0,NA,NA
"corr_chol1[2,1]",0.726252991724917,0.181210052244604,0.260636785675908,0.768836632268643,0.948698079453515,1,2266
"corr_chol1[2,2]",0.639793018372198,0.174329358970745,0.316183417705248,0.639445254014612,0.965199775953771,1,1516
"corr_chol2[1,1]",1,0,1,1,1,NA,NA
"corr_chol2[1,2]",0,0,0,0,0,NA,NA
"corr_chol2[2,1]",0.494925981926919,0.281768419109873,-0.17489372817318,0.552185854601843,0.884907046752616,1,2962
"corr_chol2[2,2]",0.807460075486964,0.153861507795627,0.465767659613616,0.832779264777576,0.99911557813794,1,3951
"corr_chol3[1,1]",1,0,1,1,1,NA,NA
"corr_chol3[1,2]",0,0,0,0,0,NA,NA
"corr_chol3[2,1]",0.587026426024018,0.23005011719035,0.0190222949308914,0.625740641224808,0.897154592985409,1,3823
"corr_chol3[2,2]",0.760830480726505,0.153693047300682,0.441716691803058,0.779974221390475,0.995228285031673,1,2933
"corr_chol4[1,1]",1,0,1,1,1,NA,NA
"corr_chol4[1,2]",0,0,0,0,0,NA,NA
